,index,date,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche
0,0,2012-06-02,roux,25.0,9.0,26803.0,F,licence,geologie,97.08,non,0
1,1,2011-04-21,blond,35.0,13.0,38166.0,M,licence,forage,63.86,non,0
2,2,2012-09-07,blond,29.0,13.0,35207.0,M,licence,geologie,78.5,non,0
3,3,2011-07-01,brun,,12.0,32442.0,M,licence,geologie,45.09,non,0
4,4,2012-08-07,roux,35.0,6.0,28533.0,F,licence,detective,81.91,non,0
5,5,2014-02-12,chatain,37.0,8.0,38558.0,M,master,geologie,63.46,non,1
6,6,2013-11-11,brun,33.0,12.0,39476.0,M,master,geologie,50.2,oui,0
7,7,2012-03-10,roux,31.0,10.0,42392.0,M,licence,forage,62.2,oui,0
8,8,2014-10-17,chatain,43.0,10.0,28625.0,M,doctorat,geologie,65.17,non,1
9,9,2011-06-04,chatain,28.0,11.0,32454.0,M,master,forage,66.93,non,1
10,10,2014-08-06,brun,50.0,12.0,38516.0,F,licence,geologie,58.93,non,0
11,11,2010-04-22,blond,43.0,8.0,38719.0,M,master,archeologie,80.07,oui,0
12,12,2011-10-23,brun,44.0,9.0,28688.0,M,doctorat,forage,115.76,oui,0
13,13,2014-06-25,brun,39.0,4.0,30822.0,F,licence,geologie,66.85,non,0
14,14,2011-10-15,roux,23.0,14.0,33882.0,M,licence,geologie,61.46,non,0
15,15,2010-07-12,brun,38.0,3.0,40889.0,M,master,geologie,62.85,oui,0
16,16,2012-02-05,brun,31.0,10.0,28507.0,M,doctorat,forage,104.26,oui,0
17,17,2010-07-03,blond,37.0,13.0,41512.0,M,bac,geologie,55.91,non,0
18,18,2010-07-21,blond,35.0,14.0,30359.0,M,licence,geologie,94.58,non,0
19,19,2014-07-22,chatain,44.0,8.0,28956.0,M,master,geologie,74.82,non,0
20,20,2010-02-12,brun,31.0,12.0,34483.0,M,master,forage,66.27,oui,0
21,21,2014-05-22,chatain,30.0,10.0,39069.0,F,licence,forage,65.19,non,0
22,22,2010-01-04,brun,39.0,13.0,34632.0,M,master,geologie,81.35,non,0
23,23,2012-03-20,brun,31.0,8.0,41582.0,M,licence,geologie,58.94,non,0
24,24,2012-01-16,blond,35.0,8.0,30782.0,F,licence,geologie,90.31,non,0
25,25,2014-05-13,chatain,31.0,12.0,33238.0,F,master,detective,70.39,non,0
26,26,2013-04-12,brun,33.0,8.0,,F,licence,detective,56.99,non,0
27,27,2013-06-18,brun,42.0,8.0,30641.0,F,licence,geologie,78.89,non,0
28,28,2010-01-02,chatain,27.0,13.0,31505.0,F,master,archeologie,88.33,non,0
29,29,2010-07-25,chatain,19.0,9.0,31357.0,M,doctorat,detective,88.69,oui,0
30,30,2010-03-21,brun,19.0,4.0,39031.0,M,master,geologie,57.48,oui,0
31,31,2014-05-29,chatain,40.0,13.0,37495.0,M,doctorat,geologie,80.86,oui,0
32,32,2012-02-05,chatain,43.0,7.0,37579.0,M,doctorat,geologie,91.15,oui,0
33,33,2012-09-03,blond,28.0,13.0,34485.0,F,licence,forage,76.94,non,0
34,34,2010-06-21,blond,38.0,6.0,41909.0,M,licence,geologie,87.76,oui,1
35,35,2011-11-04,chatain,43.0,8.0,46245.0,M,licence,geologie,49.39,non,0
36,36,2010-08-01,brun,49.0,8.0,38020.0,M,master,forage,60.63,oui,0
37,37,2013-01-10,brun,26.0,11.0,31759.0,F,master,forage,102.66,non,1
38,38,2013-06-14,blond,59.0,7.0,40397.0,M,licence,forage,60.42,oui,0
39,39,2014-11-08,chatain,37.0,6.0,27002.0,M,master,forage,55.83,non,1
40,40,2013-04-23,brun,41.0,8.0,34359.0,F,bac,geologie,56.41,non,0
41,41,2014-09-07,blond,34.0,15.0,36295.0,M,licence,geologie,81.06,oui,0
42,42,2012-04-28,chatain,25.0,9.0,34640.0,F,master,detective,73.96,non,0
43,43,2013-09-29,chatain,24.0,9.0,44710.0,M,bac,geologie,29.97,non,0
44,44,2014-12-11,brun,16.0,7.0,29858.0,M,master,geologie,76.18,non,0
45,45,2014-12-27,brun,36.0,8.0,36653.0,F,licence,detective,74.47,non,0
46,46,2010-02-18,chatain,43.0,5.0,42337.0,F,licence,detective,57.33,non,1
47,47,2014-06-07,chatain,38.0,11.0,39854.0,F,doctorat,archeologie,73.22,oui,0
48,48,2011-03-18,blond,37.0,9.0,32154.0,F,master,forage,102.95,oui,0
49,49,2010-08-03,chatain,26.0,10.0,36792.0,F,doctorat,detective,99.05,oui,0
50,50,2011-07-03,chatain,25.0,8.0,25575.0,M,doctorat,geologie,108.81,oui,0
51,51,2014-01-10,roux,29.0,9.0,34962.0,M,bac,geologie,36.92,non,0
52,52,2010-05-23,blond,48.0,14.0,41311.0,F,licence,geologie,77.58,non,1
53,53,2012-07-18,chatain,47.0,10.0,32617.0,F,master,detective,84.29,non,0
54,54,2013-03-17,chatain,53.0,11.0,36032.0,M,doctorat,detective,92.16,oui,0
55,55,2010-12-13,brun,48.0,5.0,39932.0,F,licence,detective,65.51,non,1
56,56,2014-11-27,chatain,33.0,15.0,32322.0,F,doctorat,geologie,103.35,oui,0
57,57,2014-06-24,roux,36.0,14.0,38843.0,M,licence,detective,68.82,oui,0
58,58,2011-01-01,brun,23.0,6.0,40244.0,F,master,archeologie,93.1,oui,0
59,59,2010-04-05,chatain,,9.0,40992.0,F,master,archeologie,79.33,oui,0
60,60,2010-11-03,brun,25.0,11.0,25405.0,F,doctorat,detective,81.24,non,0
61,61,2013-06-12,brun,20.0,8.0,40900.0,M,licence,geologie,61.91,non,0
62,62,2014-08-02,chatain,41.0,7.0,22335.0,M,doctorat,geologie,83.08,non,0
63,63,2011-09-03,blond,31.0,16.0,35113.0,M,master,geologie,101.14,,1
64,64,2012-06-22,blond,23.0,7.0,30188.0,F,licence,geologie,85.0,non,0
65,65,2012-03-08,blond,22.0,12.0,41807.0,M,bac,geologie,69.08,non,0
66,66,2014-05-17,brun,40.0,11.0,33787.0,M,doctorat,forage,95.77,oui,0
67,67,2011-05-30,blond,54.0,7.0,35396.0,M,bac,geologie,48.69,non,0
68,68,2013-04-20,blond,35.0,9.0,30580.0,F,licence,geologie,94.24,non,0
69,69,2012-01-04,chatain,46.0,6.0,42796.0,M,master,archeologie,80.75,oui,0
